# Parámetros:  ./calcular_cdt 16 2000 QPA ALE 1000
# Ejecutando orden:  ./gen_traza QPA ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0            2000              63        0.031500
            2000            2000              63        0.031500
            4000            2000              51        0.025500
            6000            2000              26        0.013000
            8000            2000              19        0.009500
           10000            2000              34        0.017000
           12000            2000              33        0.016500
           14000            2000              28        0.014000
           16000            2000              17        0.008500
           18000            2000              12        0.006000
           20000             262               3        0.011450
